budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
27000000,Vegahom Europe,USA,Stephen Sommers,Adventure,44342956,El Libro de la Selva,12/30/1994,111,6.0,Jason Scott Lee,14034,1994
3000000,CiBy 2000,Australia,P.J. Hogan,Comedy,15185594,La boda de Muriel,3/31/1995,106,7.2,Toni Collette,29720,1994
24000000,Caravan Pictures,USA,William Dear,Comedy,50236831,Angels in the Outfield,7/15/1994,102,6.1,Danny Glover,23966,1994
27000000,Twentieth Century Fox Film Corporation,USA,Pixote Hunt,Animation,13670688,The Pagemaster,11/23/1994,80,6.0,Macaulay Culkin,17391,1994
8000000,Twentieth Century Fox Film Corporation,USA,Hart Bochner,Comedy,4350774,PCU,4/29/1994,79,6.6,Jeremy Piven,10934,1994
25000000,New Line Cinema,USA,Jeremy Leven,Comedy,22150451,Don Juan DeMarco,4/7/1995,97,6.7,Johnny Depp,43444,1994
10000000,Golden Harvest Company,Hong Kong,Chia-Liang Liu,Action,11546543,The Legend of Drunken Master,10/20/2000,102,7.6,Jackie Chan,37144,1994
27000000,Largo Entertainment,Canada,Peter Hyams,Action,44853581,Timecop: PolicÐ½a del futuro,9/16/1994,99,5.8,Jean-Claude Van Damme,47553,1994
20000000,Nest Family Entertainment,USA,Richard Rich,Animation,9771658,The Swan Princess,11/18/1994,100,6.4,Jack Palance,18972,1994
3500000,New Line Cinema,USA,Jeff Pollack,Crime,16036534,Above the Rim,3/23/1994,96,6.6,Duane Martin,11508,1994
18000000,Etalon Film,USA,Robert Altman,Comedy,11300653,Ready to Wear,12/25/1994,133,5.0,Sophia Loren,12985,1994
2500000,Incorporated Television Company (ITC),UK,John Dahl,Crime,6138485,The Last Seduction,10/26/1994,110,7.1,Linda Fiorentino,17307,1994
25000000,Savoy Pictures,USA,Garry Marshall,Comedy,6841570,Exit to Eden,10/14/1994,113,4.1,Dana Delany,5798,1994
7400000,New Line Cinema,USA,Ernest R. Dickerson,Action,7690013,Surviving the Game,4/15/1994,96,6.1,Rutger Hauer,8846,1994
2500000,Channel Four Films,UK,Danny Boyle,Crime,2881508,Shallow Grave,2/10/1995,89,7.3,Kerry Fox,49100,1994
14000000,Universal Pictures,USA,Spike Lee,Comedy,13640000,Crooklyn,5/13/1994,115,6.9,Alfre Woodard,6583,1994
16000000,Heathrow Productions,USA,Tony Richardson,Drama,3359465,Blue Sky,9/16/1994,101,6.4,Jessica Lange,5683,1994
12000000,Columbia Pictures Corporation,USA,Christopher Cain,Action,8914777,The Next Karate Kid,9/9/1994,107,4.3,Pat Morita,20024,1994
28000000,Don Bluth,Ireland,Don Bluth,Animation,11373501,Pulgarcita,3/30/1994,100,6.4,Jodi Benson,12483,1994
25000000,Universal Pictures,USA,Russell Mulcahy,Action,32055248,The Shadow,7/1/1994,108,6.0,Alec Baldwin,19958,1994
20000000,Miramax,USA,Woody Allen,Comedy,13383737,Bullets Over Broadway,2/24/1995,98,7.5,John Cusack,31237,1994
13000000,Savoy Pictures,USA,John Waters,Comedy,7881335,Serial Mom,4/13/1994,95,6.7,Kathleen Turner,22529,1994
20000000,Columbia Pictures Corporation,USA,Martin Campbell,Action,15340000,No Escape,4/29/1994,118,6.1,Ray Liotta,16576,1994
3000000,Cecchi Gori Group Tiger Cinematografica,Italy,Michael Radford,Biography,21848932,Il Postino,3/22/1996,108,7.7,Massimo Troisi,27999,1994
20000000,Capella International,USA,Robert Benton,Comedy,39487686,Nobody's Fool,1/13/1995,110,7.4,Paul Newman,15759,1994
3500000,LumiÐ¸re Pictures,USA,Boaz Yakin,Crime,8094616,Fresh,9/2/1994,114,7.6,Sean Nelson,10327,1994
25000000,Beacon Communications,USA,Alan Parker,Comedy,6507514,The Road to Wellville,10/28/1994,118,5.8,Anthony Hopkins,10226,1994
11000000,Touchstone Pictures,USA,Ted Demme,Comedy,11439193,The Ref,3/11/1994,96,6.9,Denis Leary,20548,1994
7000000,Jersey Films,USA,John G. Avildsen,Biography,19604000,8 Seconds,2/25/1994,105,6.5,Luke Perry,4037,1994
6200000,Warner Bros.,USA,Alan Metter,Comedy,126247,Police Academy: Mission to Moscow,8/26/1994,83,3.3,G.W. Bailey,26638,1994
10000000,Caravan Pictures,USA,Keenen Ivory Wayans,Action,29392418,A Low Down Dirty Shame,11/23/1994,100,5.9,Keenen Ivory Wayans,4331,1994
